	zip	margin_dollar	sale	bottle_sold
0	50003	15615.86	46676.3	3511
1	50006	3749.2	11225.08	624
2	50009	98387.37	294415.63	22664
3	50010	308533.82	922875.21	63818
4	50014	9051.34	27096.89	1971
5	50020	2881.63	8639.25	655
6	50021	109044.53	325663.32	22678
7	50022	38276.88	114380.17	8075
8	50023	64653.26	193316.4	12857
9	50033	1825.51	5460.68	530
10	50035	3875.76	11611.98	1041
11	50036	55934.73	166462.43	12476
12	50044	633.06	1896.0	390
13	50046	710.38	2116.42	199
14	50047	9113.32	26454.06	1932
15	50048	1715.3	5143.62	535
16	50049	14115.07	42222.47	3251
17	50054	5317.58	15908.13	1464
18	50060	3435.0	10268.42	782
19	50069	2508.86	7487.22	621
20	50075	2500.59	7412.66	635
21	50107	1310.26	3897.19	386
22	50109	1607.58	4819.56	521
23	50111	45757.98	136766.04	9903
24	50112	37074.42	110961.26	8226
25	50115	3062.57	9156.23	768
26	50123	892.11	2665.2	340
27	50124	1678.08	5027.34	432
28	50125	63222.76	188475.23	15526
29	50126	33729.11	100788.66	6695
30	50129	14678.57	43920.7	3470
31	50130	1606.25	4792.82	475
32	50131	34490.39	103037.33	7338
33	50138	29972.88	89741.59	7337
34	50142	2794.02	8357.41	718
35	50156	3364.85	10080.72	894
36	50158	104025.91	311448.85	22441
37	50161	1251.18	3689.34	300
38	50163	5431.93	16282.74	1245
39	50170	966.77	2895.23	362
40	50171	5561.53	16657.33	959
41	50201	12703.07	38028.02	3446
42	50208	53828.02	160969.13	12483
43	50211	15336.06	45509.28	3023
44	50212	2507.41	7498.7	595
45	50213	22833.48	68320.28	4362
46	50216	4253.88	12712.93	960
47	50219	40369.97	120531.33	7998
48	50220	20529.79	61467.77	4976
49	50225	2824.95	8456.38	915
50	50226	10078.96	30039.18	2205
51	50228	1012.54	3022.79	377
52	50247	1563.29	4679.22	403
53	50248	4780.39	14280.88	1322
54	50249	1824.74	5456.39	367
55	50250	5162.58	15440.92	1342
56	50261	687.72	2061.12	294
57	50263	65731.75	196604.24	13677
58	50265	153318.36	458576.99	32275
59	50266	222498.97	664978.29	37211
60	50273	18264.68	54185.36	4483
61	50309	11636.07	34839.41	5732
62	50310	49253.38	147522.1	16672
63	50311	223510.54	669030.97	44742
64	50312	37183.02	111431.15	6560
65	50313	19071.48	57091.47	5889
66	50314	424738.49	1273082.51	83956
67	50315	94879.8	283935.37	26840
68	50316	28817.03	86396.53	10279
69	50317	129741.99	388428.23	37767
70	50320	428155.35	1283569.86	82828
71	50321	64043.47	190695.17	13316
72	50322	107395.41	321632.56	22469
73	50323	2818.15	8424.94	784
74	50324	3263.2	9781.07	1613
75	50325	21104.65	63216.27	6046
76	50327	8599.34	25512.08	1849
77	50401	156785.85	468177.08	38116
78	50421	3962.2	11873.68	919
79	50423	4816.26	14341.59	1227
80	50424	2905.48	8672.07	719
81	50428	67377.74	201719.62	14179
82	50435	7161.54	21420.09	1394
83	50436	23678.04	70874.18	5469
84	50438	6536.78	19454.67	1865
85	50441	6430.86	19260.98	1603
86	50458	1476.51	4407.97	404
87	50459	11565.11	34537.61	2456
88	50461	10307.11	30764.45	2640
89	50466	951.78	2854.23	219
90	50469	2891.61	8625.74	670
91	50472	5251.64	15725.99	1090
92	50475	1129.12	3379.62	364
93	50501	152073.29	452952.19	34385
94	50511	45026.93	133792.51	9780
95	50517	13251.02	39691.95	2699
96	50525	2828.87	8462.1	639
97	50530	2458.62	7354.9	491
98	50533	12875.8	38040.31	2706
99	50536	18407.82	55110.52	3920
100	50543	3802.53	11376.12	830
101	50548	19141.43	57166.91	4334
102	50554	4081.87	12199.14	1081
103	50563	2669.85	7999.72	628
104	50574	8816.77	26089.73	2084
105	50579	1227.59	3675.58	379
106	50581	924.59	2772.86	193
107	50583	12110.35	36138.1	2728
108	50585	3011.76	8996.77	665
109	50588	67051.73	200201.06	14662
110	50595	26512.24	78870.1	6481
111	50597	5160.04	15471.14	1027
112	50601	1380.58	4119.25	357
113	50602	3676.15	10962.06	920
114	50606	1019.64	3040.01	329
115	50613	204067.88	610312.4	45726
116	50616	30537.55	91028.55	6740
117	50619	1081.21	3234.06	297
118	50621	2071.67	6163.34	473
119	50622	3703.35	10998.33	876
120	50627	11245.55	33425.73	2632
121	50628	2864.77	8580.56	505
122	50629	1708.84	5073.54	427
123	50630	1837.86	5493.33	423
124	50635	1380.23	4133.38	365
125	50636	1540.04	4597.69	371
126	50638	6218.5	18604.66	1669
127	50641	1298.48	3893.86	722
128	50643	1591.14	4741.38	336
129	50644	36756.31	109552.26	7823
130	50647	7038.42	21078.98	1842
131	50648	3139.16	9385.27	709
132	50651	5010.18	14929.26	1179
133	50659	7717.7	23052.35	1834
134	50662	30514.25	91013.9	6629
135	50665	3822.57	11399.85	915
136	50669	1207.67	3598.59	325
137	50674	3848.59	11533.32	801
138	50675	2967.14	8896.65	718
139	50676	6785.23	20263.54	1527
140	50677	52901.21	158289.29	11717
141	50680	881.52	2624.34	312
142	50701	74637.96	223440.46	17976
143	50702	152586.54	456578.12	37260
144	50703	151519.64	453927.76	50715
145	50707	18603.27	55702.33	7022
146	50801	36672.74	109705.68	7666
147	50833	2646.31	7925.01	593
148	50841	4150.99	12441.71	955
149	50846	2971.68	8912.49	527
150	50849	5176.12	15493.49	1290
151	50854	6088.9	18223.17	1298
152	51001	1831.81	5469.42	504
153	51004	3470.24	10378.52	872
154	51012	17875.61	53365.99	5000
155	51023	5454.94	16325.88	1252
156	51025	9924.27	29710.78	1924
157	51028	1914.32	5720.22	521
158	51031	48945.52	146477.91	10615
159	51034	9702.58	29005.37	2045
160	51035	1600.11	4774.9	367
161	51040	11399.37	34117.17	2899
162	51041	19377.53	57023.0	3916
163	51046	3364.99	10048.44	853
164	51050	4200.58	12552.2	958
165	51054	9283.88	27773.39	2259
166	51055	3595.25	10755.4	977
167	51058	1384.52	4147.68	358
168	51101	16588.28	49706.14	4492
169	51103	79991.92	239772.42	18362
170	51104	47475.94	142132.87	10483
171	51105	42576.28	127491.5	11809
172	51106	163817.43	490023.13	33009
173	51108	26510.94	78991.01	5669
174	51109	5287.63	15839.02	1380
175	51201	37899.85	113488.4	8139
176	51237	1773.49	5311.23	375
177	51240	3144.09	9405.36	683
178	51241	9329.88	27937.79	1898
179	51245	3373.02	10093.0	640
180	51246	14628.86	43778.13	3434
181	51247	3833.49	11458.13	985
182	51248	2730.39	8158.8	657
183	51249	10134.81	30313.41	2132
184	51250	32931.48	98607.05	5929
185	51301	57913.15	173268.73	13475
186	51331	13399.6	40088.33	2994
187	51334	22071.35	65606.42	4957
188	51342	2149.53	6440.32	530
189	51346	6659.97	19639.4	1493
190	51351	50532.2	151407.87	10714
191	51358	1190.8	3566.29	294
192	51360	80662.36	241553.69	17136
193	51401	91842.51	273638.71	18200
194	51442	44577.4	131437.9	9872
195	51443	1217.9	3648.37	309
196	51445	7518.15	22504.63	1643
197	51449	4713.14	14081.67	1120
198	51450	7233.17	21592.32	1719
199	51455	4262.86	12753.54	946
200	51461	3799.87	11343.97	682
201	51466	754.56	2256.84	177
202	51501	218562.94	654605.93	47851
203	51503	152615.98	457031.5	32009
204	51510	3211.6	9627.51	1495
205	51521	14313.57	42874.99	3143
206	51526	961.17	2874.01	246
207	51534	10332.71	30915.9	2280
208	51537	32637.35	97066.5	6948
209	51546	2645.34	7897.56	648
210	51551	1075.86	3225.12	468
211	51555	9060.46	27087.25	2451
212	51559	1681.03	5029.37	431
213	51560	4705.11	14099.19	1289
214	51561	4140.88	12403.03	1211
215	51566	24477.0	73317.13	5512
216	51575	774.5	2318.21	206
217	51577	1848.75	5539.4	479
218	51579	2703.66	8100.28	667
219	51601	26434.71	78806.93	5933
220	51632	11673.14	34865.12	2510
221	52001	212958.01	636948.8	47505
222	52002	76152.28	227019.74	16130
223	52003	28286.76	84669.78	6010
224	52031	8549.6	25574.88	2007
225	52033	6069.93	18062.97	1347
226	52040	16588.08	49175.13	3661
227	52042	2008.21	6008.61	454
228	52043	3212.83	9481.11	742
229	52046	861.36	2582.52	312
230	52052	9250.62	27698.92	1858
231	52057	15036.65	44909.74	3180
232	52060	39763.78	118468.16	9180
233	52076	1940.5	5815.14	440
234	52079	1922.76	5745.51	617
235	52084	15891.32	47647.73	5853
236	52087	17425.42	52079.53	3904
237	52101	45184.51	135214.2	10385
238	52136	28024.31	83228.38	5782
239	52144	4495.16	13475.13	856
240	52151	3497.4	10451.86	956
241	52154	3221.06	9644.54	566
242	52159	7376.81	22075.12	1449
243	52162	1479.22	4436.5	387
244	52166	3256.96	9769.08	477
245	52172	26790.77	80006.46	5697
246	52175	8210.4	24432.43	1873
247	52205	12297.66	36814.26	2508
248	52208	11276.37	33762.76	2682
249	52211	4042.85	12114.63	841
250	52213	3256.56	9718.78	827
251	52214	3193.46	9539.6	1116
252	52228	1333.78	3999.65	439
253	52233	11979.22	35900.42	4469
254	52240	349657.35	1047036.02	78711
255	52241	99083.63	296847.93	15142
256	52245	19397.06	58075.96	3998
257	52246	37482.19	112073.23	8231
258	52248	858.24	2570.52	285
259	52253	3864.22	11519.57	931
260	52301	13693.66	40774.03	2712
261	52302	90856.6	272035.3	20959
262	52306	1478.44	4415.1	526
263	52310	18583.44	55565.96	4477
264	52314	6012.97	17955.61	1405
265	52317	14342.57	42875.4	4375
266	52324	1682.94	5033.04	507
267	52327	10077.45	30131.92	2084
268	52332	3569.85	10680.62	962
269	52333	6991.58	20965.95	1582
270	52338	11859.39	35557.1	1268
271	52342	20027.67	59874.71	4965
272	52345	1007.75	3011.52	316
273	52349	10836.55	32474.81	2476
274	52353	43981.4	131743.14	9677
275	52356	4106.41	12228.07	923
276	52358	1178.67	3509.51	312
277	52361	10551.33	31483.17	2349
278	52401	102218.82	306505.3	17870
279	52402	369693.63	1106116.5	84451
280	52403	48971.89	146351.83	11346
281	52404	132495.86	396280.17	33054
282	52405	84355.42	252576.34	22673
283	52411	44568.99	133207.26	8056
284	52501	99756.39	298134.21	22817
285	52531	11039.52	33003.09	2578
286	52537	4412.43	13197.52	1053
287	52544	30449.17	91108.59	7751
288	52554	1172.58	3515.94	346
289	52556	33457.1	100203.39	7247
290	52565	6195.71	18551.69	1278
291	52577	49720.24	148667.73	11480
292	52591	5267.04	15721.08	1358
293	52601	108073.94	323031.65	25723
294	52626	1005.44	3014.28	276
295	52627	43119.44	129085.66	10564
296	52632	105516.9	316150.31	21503
297	52637	4284.03	12844.99	933
298	52641	48083.84	143078.15	10759
299	52653	2234.45	6695.54	662
300	52655	34968.64	104556.27	8486
301	52656	8825.76	26461.68	1666
302	52722	216474.25	648423.2	41088
303	52726	3457.02	10346.51	1032
304	52730	5150.2	15437.65	1453
305	52732	104836.98	313997.12	25492
306	52733	6984.0	20940.57	2244
307	52738	3895.7	11670.21	1010
308	52747	2963.13	8868.55	833
309	52748	16808.2	50240.79	4139
310	52753	6011.44	17975.52	1426
311	52761	103071.4	308645.56	23549
312	52768	823.58	2469.86	291
313	52772	15386.5	45584.9	3691
314	52776	6935.07	20779.13	1498
315	52778	3834.35	11482.04	1120
316	52802	35761.39	107124.44	15414
317	52803	40084.74	120143.27	17018
318	52804	149665.55	448314.96	40831
319	52806	72909.29	218217.6	19476
320	52807	234032.52	700835.42	48191
